iter	Logloss
0	0.6825265668
1	0.6730971366
2	0.664925613
3	0.6568688994
4	0.6492707104
5	0.6412549614
6	0.6339193368
7	0.6278247657
8	0.6218379217
9	0.6162433659
10	0.6107489087
11	0.6052807931
12	0.6007521801
13	0.5965661984
14	0.5923022073
15	0.5887098894
16	0.5847705131
17	0.5813939953
18	0.5777025059
19	0.5744693165
20	0.5714701553
21	0.5687540219
22	0.5662913273
23	0.5640172015
24	0.5616572733
25	0.5598905504
26	0.5580394302
27	0.5558374567
28	0.5538576926
29	0.5524000311
30	0.5506561035
31	0.5490647911
32	0.5475695612
33	0.5460168248
34	0.5444494859
35	0.5430927351
36	0.5419351461
37	0.5406398416
38	0.5394593617
39	0.5383068676
40	0.5371179979
41	0.5362070155
42	0.535180063
43	0.5340527677
44	0.5331970429
45	0.5323103719
46	0.5316376271
47	0.5309727488
48	0.5299949356
49	0.5291565048
50	0.5284747248
51	0.5278629025
52	0.5272756704
53	0.5266095186
54	0.5259112331
55	0.5254856018
56	0.5249327466
57	0.5243568489
58	0.5237302718
59	0.5231445443
60	0.5227979299
61	0.5222067141
62	0.5216982022
63	0.5212886139
64	0.520862334
65	0.5204770479
66	0.5200547286
67	0.5196739268
68	0.5193861011
69	0.5188587311
70	0.5185555054
71	0.5182127288
72	0.5177677177
73	0.5174287144
74	0.5171706898
75	0.5166732929
76	0.5162254804
77	0.5159643144
78	0.515636943
79	0.5152939463
80	0.5150523486
81	0.5147634829
82	0.5144704687
83	0.5141090402
84	0.5138138278
85	0.5135656383
86	0.5132461951
87	0.5129996468
88	0.5126775114
89	0.5123976729
90	0.512157884
91	0.5119676197
92	0.5116867463
93	0.5113909086
94	0.5110939081
95	0.5107787627
96	0.5105664282
97	0.510285207
98	0.5100977033
99	0.5098719468
100	0.5096814488
101	0.5094736521
102	0.5093308966
103	0.5091067906
104	0.5089321577
105	0.5086864952
106	0.5084517017
107	0.5082745729
108	0.5080088513
109	0.5078288172
110	0.507578614
111	0.5073407213
112	0.5071245707
113	0.5070140204
114	0.5068326395
115	0.5066709513
116	0.5065434174
117	0.5064208753
118	0.5062685709
119	0.5060294448
120	0.5058632499
121	0.5057128052
122	0.5055941822
123	0.5054645201
124	0.5052958618
125	0.5050339424
126	0.5048895773
127	0.5047610814
128	0.504648471
129	0.5045302257
130	0.5043116943
131	0.504149346
132	0.5039349629
133	0.5038169459
134	0.5036630687
135	0.5034557071
136	0.503259144
137	0.5031771106
138	0.5030417382
139	0.5028931656
140	0.5027963748
141	0.5027013948
142	0.5025351362
143	0.5024303901
144	0.5022208762
145	0.5021504159
146	0.5020089549
147	0.5018793129
148	0.5017677709
149	0.5016327698
150	0.5015332336
151	0.5014571429
152	0.5013482453
153	0.5012051274
154	0.5010250683
155	0.500935905
156	0.5008279122
157	0.5007087169
158	0.5006177948
