iter	Passed	Remaining
0	168	336312
1	181	181686
2	195	130377
3	209	104298
4	222	88745
5	235	78364
6	249	70922
7	262	65352
8	275	60962
9	289	57533
10	303	54817
11	317	52531
12	330	50520
13	344	48884
14	358	47506
15	373	46358
16	391	45698
17	411	45320
18	426	44487
19	440	43582
20	454	42844
21	470	42274
22	484	41658
23	499	41095
24	513	40574
25	527	40074
26	543	39685
27	557	39254
28	571	38847
29	586	38539
30	605	38441
31	620	38146
32	633	37788
33	647	37454
34	661	37135
35	675	36834
36	691	36669
37	706	36483
38	720	36238
39	735	36022
40	749	35799
41	763	35584
42	777	35400
43	792	35248
44	811	35275
45	826	35089
46	840	34934
47	857	34855
48	872	34739
49	891	34778
50	909	34741
51	927	34751
52	947	34792
53	967	34852
54	986	34874
55	1005	34916
56	1026	34991
57	1047	35084
58	1064	35026
59	1078	34868
60	1091	34680
61	1105	34548
62	1118	34400
63	1133	34297
64	1148	34196
65	1162	34061
66	1175	33920
67	1191	33841
68	1204	33719
69	1220	33650
70	1235	33568
71	1255	33606
72	1272	33578
73	1286	33488
74	1303	33459
75	1321	33453
76	1341	33492
77	1360	33523
78	1377	33490
79	1396	33509
80	1414	33513
81	1434	33548
82	1451	33526
83	1471	33561
84	1488	33543
85	1507	33545
86	1523	33498
87	1536	33393
88	1551	33310
89	1567	33259
90	1581	33187
91	1598	33151
92	1616	33141
93	1632	33106
94	1650	33097
95	1671	33145
96	1688	33132
97	1705	33097
98	1721	33062
99	1737	33018
100	1752	32948
101	1769	32922
102	1785	32879
103	1801	32843
104	1818	32819
105	1833	32760
106	1851	32756
107	1867	32713
108	1882	32667
109	1899	32638
110	1913	32558
111	1927	32485
112	1941	32416
113	1954	32342
114	1972	32335
115	1990	32327
116	2007	32313
117	2023	32269
118	2038	32227
119	2057	32231
120	2076	32253
121	2095	32254
122	2110	32204
123	2129	32220
124	2148	32223
125	2166	32227
126	2185	32234
127	2202	32211
128	2219	32188
129	2233	32127
130	2247	32063
131	2260	31991
132	2274	31926
133	2291	31908
134	2306	31864
135	2326	31880
136	2342	31852
137	2356	31798
138	2371	31755
139	2386	31711
140	2402	31670
141	2416	31613
142	2431	31578
143	2446	31533
144	2461	31493
145	2474	31424
146	2488	31366
147	2503	31330
148	2519	31296
149	2539	31325
150	2558	31333
151	2572	31276
152	2586	31227
153	2601	31181
154	2615	31132
155	2629	31076
156	2642	31020
157	2655	30953
158	2668	30901
159	2681	30839
160	2694	30779
161	2710	30752
162	2727	30740
163	2748	30771
164	2770	30806
165	2789	30822
166	2805	30791
167	2821	30765
168	2836	30734
169	2852	30707
170	2869	30696
171	2885	30669
172	2901	30642
173	2917	30621
174	2932	30585
175	2949	30569
176	2964	30533
177	2978	30491
178	2992	30441
179	3005	30385
180	3019	30342
181	3033	30298
182	3048	30266
183	3061	30217
184	3075	30169
185	3091	30149
186	3106	30122
187	3124	30119
188	3141	30106
189	3160	30105
190	3179	30110
191	3196	30103
192	3214	30100
193	3231	30085
194	3248	30068
195	3264	30046
196	3279	30016
197	3293	29971
198	3306	29923
199	3319	29874
200	3334	29844
201	3350	29818
